This list contains all games supported by FinalBurn Neo.

22811 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

+---------------------------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+-------------+-----------------------------------------------------------------+--------------------------------+-------------------------------------------------------------------------------------+
| name                            | status | full name                                                                                                                                                              | parent                  | year        | company                                                         | hardware                       | remarks                                                                             |
| vball2pj                        |        | U.S. Championship V'ball (Japan)                                                                                                                                       | vball                   | 1988        | Technos Japan                                                   | Miscellaneous                  |                                                                                     |
| vball                           |        | U.S. Championship V'ball (US)                                                                                                                                          |                         | 1988        | Technos Japan                                                   | Miscellaneous                  |                                                                                     |
| usclssic                        |        | U.S. Classic                                                                                                                                                           |                         | 1989        | Seta                                                            | Seta                           |                                                                                     |
| cawingj                         |        | U.S. Navy (Japan 901012)                                                                                                                                               | cawing                  | 1990        | Capcom                                                          | CPS1                           |                                                                                     |
| msx_uchuyohei                   |        | Uchu Yohei (HB, v1.6.1)                                                                                                                                                |                         | 2023        | FranChesstein                                                   | MSX                            |                                                                                     |
| nes_uchusen                     |        | Uchusen - Ultimate PLOID Battle (HB)                                                                                                                                   |                         | 2021        | NAPE Games                                                      | Miscellaneous                  |                                                                                     |
| nes_uchusen2                    |        | Uchusen 2 - Blood Invasion Battle (HB)                                                                                                                                 |                         | 2021        | NAPE Games                                                      | Miscellaneous                  |                                                                                     |
| msx_ugamma                      |        | Uchusen Gamma (HB)                                                                                                                                                     |                         | 2019        | usebox.net                                                      | MSX                            |                                                                                     |
| nes_uchuukeisdf                 |        | Uchuu Keibitai SDF (Japan)                                                                                                                                             |                         | 1990        | HAL Laboratory                                                  | Miscellaneous                  |                                                                                     |
| snes_uchuunokishi               |        | Uchuu no Kishi - Tekkaman Blade (Japan)                                                                                                                                |                         | 1993        | BEC                                                             | Nintendo                       |                                                                                     |
| snes_astrogogo                  |        | Uchuu Race - Astro Go! Go! (Japan)                                                                                                                                     |                         | 1994        | Meldac - Kaze                                                   | Nintendo                       |                                                                                     |
| md_gomora                       |        | Uchuu Senkan Gomora ~ Bio-Ship Paladin (Japan)                                                                                                                         |                         | 1991        | UPL                                                             | Sega Megadrive                 |                                                                                     |
| nes_uchuucoscar                 |        | Uchuusen Cosmo Carrier (Japan)                                                                                                                                         |                         | 1987        | Jaleco                                                          | Miscellaneous                  |                                                                                     |
| md_euro2004                     |        | UEFA Euro 2004 Portugal (China) (Unl)                                                                                                                                  | md_issdx                | 2004        | Glorysun                                                        | Sega Megadrive                 |                                                                                     |
| spec_ufo                        |        | UFO (48K) (HB)                                                                                                                                                         |                         | 2020        | F.J. Urbaneja                                                   | ZX Spectrum                    |                                                                                     |
| dangara                         |        | Ufo Robo Dangar (12/1/1986)                                                                                                                                            | dangar                  | 1986        | Nichibutsu                                                      | Miscellaneous                  |                                                                                     |
| dangar                          |        | Ufo Robo Dangar (4/09/1987)                                                                                                                                            |                         | 1986        | Nichibutsu                                                      | Miscellaneous                  |                                                                                     |
| dangarb                         |        | Ufo Robo Dangar (9/26/1986, bootleg set 1)                                                                                                                             | dangar                  | 1986        | bootleg                                                         | Miscellaneous                  |                                                                                     |
| dangarbt                        |        | Ufo Robo Dangar (9/26/1986, bootleg set 2)                                                                                                                             | dangar                  | 1986        | bootleg                                                         | Miscellaneous                  |                                                                                     |
| dangarj                         |   NW   | Ufo Robo Dangar (9/26/1986, Japan)                                                                                                                                     | dangar                  | 1986        | Nichibutsu                                                      | Miscellaneous                  |                                                                                     |
| ufosensi                        |        | Ufo Senshi Yohko Chan (MC-8123, 317-0064)                                                                                                                              |                         | 1988        | Sega                                                            | System 2                       |                                                                                     |
| nes_ufouria                     |        | Ufouria - The Saga (Euro)                                                                                                                                              |                         | 1992        | Sunsoft                                                         | Miscellaneous                  |                                                                                     |
| msx_ulises                      |        | Ulises (Euro, Spanish)                                                                                                                                                 |                         | 1989        | Opera Soft                                                      | MSX                            |                                                                                     |
| nes_ultimaexodus                |        | Ultima - Exodus (USA)                                                                                                                                                  |                         | 1989        | FCI                                                             | Miscellaneous                  |                                                                                     |
| nes_ultimexorem                 |        | Ultima - Exodus Remastered (Hack)                                                                                                                                      | nes_ultimaexodus        | 2020        | Fox Cunning                                                     | Miscellaneous                  |                                                                                     |
| nes_ultimqueava                 |        | Ultima - Quest of the Avatar (USA)                                                                                                                                     |                         | 1990        | FCI                                                             | Miscellaneous                  |                                                                                     |
| nes_ultimwardes                 |        | Ultima - Warriors of Destiny (USA)                                                                                                                                     |                         | 1993        | FCI                                                             | Miscellaneous                  |                                                                                     |
| sms_ultima4                     |        | Ultima IV - Quest of the Avatar (Euro, Brazil)                                                                                                                         |                         | 1990        | Sega                                                            | Sega Master System             |                                                                                     |
| sms_ultima4p                    |        | Ultima IV - Quest of the Avatar (Euro, Prototype)                                                                                                                      | sms_ultima4             | 1990        | Sega                                                            | Sega Master System             |                                                                                     |
| snes_ultimavij                  |        | Ultima VI - Itsuwari no Yogensha (Japan)                                                                                                                               | snes_ultimavi           | 1993        | Pony Canyon                                                     | Nintendo                       |                                                                                     |
| snes_ultimavi                   |        | Ultima VI - The False Prophet (USA)                                                                                                                                    |                         | 1993        | FCI Inc.                                                        | Nintendo                       |                                                                                     |
| uecology                        |        | Ultimate Ecology (Japan 931203)                                                                                                                                        | ecofghtr                | 1993        | Capcom                                                          | CPS2                           |                                                                                     |
| snes_ultfootball                |        | Ultimate Football (Japan)                                                                                                                                              | snes_fbfury             | 1992        | Sammy                                                           | Nintendo                       |                                                                                     |
| nes_ultimfrocha                 |        | Ultimate Frogger Champion (HB)                                                                                                                                         |                         | 2019        | Khan Games                                                      | Miscellaneous                  |                                                                                     |
| md_ultgargoyle                  |        | Ultimate Gargoyles (Hack)                                                                                                                                              | md_gargoyle             | 2021        | BillyTime! Games                                                | Sega Megadrive                 |                                                                                     |
| nes_ultimleasoci                |        | Ultimate League Soccer (Italy)                                                                                                                                         | nes_ultimleasoc         | 1991        | American Video Entertainment                                    | Miscellaneous                  |                                                                                     |
| nes_ultimleasoc                 |        | Ultimate League Soccer (USA)                                                                                                                                           |                         | 1991        | American Video Entertainment                                    | Miscellaneous                  |                                                                                     |
| md_umk3                         |        | Ultimate Mortal Kombat 3 (Euro)                                                                                                                                        |                         | 1996        | Acclaim Entertainment                                           | Sega Megadrive                 |                                                                                     |
| nes_ultimmorkom3h               |        | Ultimate Mortal Kombat 3 (Hack)                                                                                                                                        | nes_ultimmorkom3        | 2020        | Vasil                                                           | Miscellaneous                  |                                                                                     |
| umk3r10                         |        | Ultimate Mortal Kombat 3 (rev 1.0)                                                                                                                                     | umk3                    | 1994        | Midway                                                          | MIDWAY Wolf-Unit               |                                                                                     |
| umk3r11                         |        | Ultimate Mortal Kombat 3 (rev 1.1)                                                                                                                                     | umk3                    | 1994        | Midway                                                          | MIDWAY Wolf-Unit               |                                                                                     |
| umk3                            |        | Ultimate Mortal Kombat 3 (rev 1.2)                                                                                                                                     |                         | 1994        | Midway                                                          | MIDWAY Wolf-Unit               |                                                                                     |
| nes_ultimmorkom3                |        | Ultimate Mortal Kombat 3 (Unl)                                                                                                                                         |                         | 1996        | Ka Sheng                                                        | Miscellaneous                  |                                                                                     |
| md_umk3u                        |        | Ultimate Mortal Kombat 3 (USA)                                                                                                                                         | md_umk3                 | 1996        | Williams                                                        | Sega Megadrive                 |                                                                                     |
| snes_umk3                       |        | Ultimate Mortal Kombat 3 (USA)                                                                                                                                         |                         | 1996        | Williams Entertainment                                          | Nintendo                       |                                                                                     |
| md_umk3h06                      |        | Ultimate Mortal Kombat 3 Arcade (Hack, v0.6)                                                                                                                           | md_umk3                 | 2012        | Nemesis_c                                                       | Sega Megadrive                 |                                                                                     |
| md_umk3h                        |        | Ultimate Mortal Kombat 3 Arcade (Hack, v0.71)                                                                                                                          | md_umk3                 | 2012        | Nemesis_c                                                       | Sega Megadrive                 |                                                                                     |
| md_umk3mh                       |        | Ultimate Mortal Kombat 3 Mini (Hack, v13)                                                                                                                              | md_umk3                 | 2011        | Nemesis_c, r57shell                                             | Sega Megadrive                 |                                                                                     |
| md_umk3osc                      |        | Ultimate Mortal Kombat 3 OSC (Hack, v30a)                                                                                                                              | md_umk3                 | 2024        | Bonus                                                           | Sega Megadrive                 |                                                                                     |
| umk3p                           |        | Ultimate Mortal Kombat 3 Plus (Hack, Beta 2)                                                                                                                           | umk3                    | 2022        | Midway                                                          | MIDWAY Wolf-Unit               |                                                                                     |
| umk3te                          |        | Ultimate Mortal Kombat 3 Tournament Edition (hack, V2.0.042/August 2018)                                                                                               | umk3                    | 2018        | Midway                                                          | MIDWAY Wolf-Unit               |                                                                                     |
| umk3uk                          |        | Ultimate Mortal Kombat 3 Uk (FBNeo, Ver. 2021-07-20)                                                                                                                   | umk3                    | 2021        | hack                                                            | MIDWAY Wolf-Unit               |                                                                                     |
| md_umk3t                        |        | Ultimate Mortal Kombat Trilogy (Hack, Rev. 5149)                                                                                                                       |                         | 2017        | KABAL_MK                                                        | Sega Megadrive                 |                                                                                     |
| md_ultqixs                      |        | Ultimate Qix (Hack, Spanish)                                                                                                                                           | md_ultqix               | 2019        | Wave                                                            | Sega Megadrive                 |                                                                                     |
| md_ultqix                       |        | Ultimate Qix (USA)                                                                                                                                                     |                         | 1991        | Taito                                                           | Sega Megadrive                 |                                                                                     |
| md_ultsoccr                     |        | Ultimate Soccer (Euro)                                                                                                                                                 |                         | 1993        | Sega                                                            | Sega Megadrive                 |                                                                                     |
| sms_ultsoccr                    |        | Ultimate Soccer (Euro, Brazil)                                                                                                                                         |                         | 1993        | Sega                                                            | Sega Master System             |                                                                                     |
| gg_ultsoccr                     |        | Ultimate Soccer (Euro, Japan, Brazil)                                                                                                                                  |                         | 1993        | Sega                                                            | Sega Game Gear                 |                                                                                     |
| md_ultsoccrp                    |        | Ultimate Soccer (Euro, Prototype)                                                                                                                                      | md_ultsoccr             | 1993        | Sega                                                            | Sega Megadrive                 |                                                                                     |
| nes_ultimstu                    |        | Ultimate Stuntman, The (USA)                                                                                                                                           |                         | 1991        | Camerica                                                        | Miscellaneous                  |                                                                                     |
| ultennisj                       |        | Ultimate Tennis (v 1.4, Japan)                                                                                                                                         | ultennis                | 1993        | Art & Magic (Banpresto license)                                 | Miscellaneous                  |                                                                                     |
| ultennis                        |        | Ultimate Tennis                                                                                                                                                        |                         | 1993        | Art & Magic                                                     | Miscellaneous                  |                                                                                     |
| md_uxmen                        |        | Ultimate X-Men (Hack, Enhanced)                                                                                                                                        | md_xmen                 | 2021        | BillyTime! Games                                                | Sega Megadrive                 |                                                                                     |
| uballoon                        |        | Ultra Balloon                                                                                                                                                          |                         | 1996        | SunA (Unico license)                                            | Miscellaneous                  |                                                                                     |
| snes_ultrasevenj                |        | Ultra Seven (Japan)                                                                                                                                                    |                         | 1993        | Bandai                                                          | Nintendo                       |                                                                                     |
| utoukond                        |        | Ultra Toukon Densetsu (Japan)                                                                                                                                          |                         | 1993        | Banpresto                                                       | Seta                           |                                                                                     |
| ultraxg                         |        | Ultra X Weapons / Ultra Keibitai (Gamest review build)                                                                                                                 | ultrax                  | 1995        | Banpresto / Tsuburaya Productions / Seta                        | SSV                            |                                                                                     |
| ultrax                          |        | Ultra X Weapons / Ultra Keibitai                                                                                                                                       |                         | 1995        | Banpresto / Tsuburaya Productions / Seta                        | SSV                            |                                                                                     |
| md_ultracore                    |        | Ultracore (HB, USA)                                                                                                                                                    |                         | 2019        | Digital Illusions                                               | Sega Megadrive                 |                                                                                     |
| md_ultraman                     |        | Ultraman (Japan)                                                                                                                                                       |                         | 1993        | Ma-Ba                                                           | Sega Megadrive                 |                                                                                     |
| msx_ultraman                    |        | Ultraman (Japan)                                                                                                                                                       |                         | 1984        | Bandai                                                          | MSX                            |                                                                                     |
| snes_ultramanj                  |        | Ultraman (Japan)                                                                                                                                                       | snes_ultraman           | 1990        | Bandai                                                          | Nintendo                       |                                                                                     |
| ultraman                        |        | Ultraman (Japan)                                                                                                                                                       |                         | 1991        | Banpresto / Bandai                                              | GX910                          |                                                                                     |
| snes_ultraman                   |        | Ultraman (USA)                                                                                                                                                         |                         | 1991        | Bandai                                                          | Nintendo                       |                                                                                     |
| fds_ultra                       |        | Ultraman - Kaijuu Teikoku no Gyakushuu (Japan)                                                                                                                         |                         | 1986        | Bandai                                                          | Miscellaneous                  |                                                                                     |
| fds_ultra2                      |        | Ultraman 2 - Shutsugeki Katoku Tai (Japan)                                                                                                                             |                         | 1987        | Bandai                                                          | Miscellaneous                  |                                                                                     |
| fds_ultraclu                    |        | Ultraman Club - Chikyuu Dakkan Sakusen (Japan)                                                                                                                         |                         | 1988        | Bandai                                                          | Miscellaneous                  |                                                                                     |
| nes_ultraclubgkb                |        | Ultraman Club - Great Kaiju Battle (Hack, English)                                                                                                                     |                         | 2017        | Eric Engel, cccmar                                              | Miscellaneous                  |                                                                                     |
| nes_ultraclubgkbj               |        | Ultraman Club - Kaijuu Daikessen!! (Japan)                                                                                                                             | nes_ultraclubgkb        | 1992        | Angel - Bandai                                                  | Miscellaneous                  |                                                                                     |
| umanclub                        |        | Ultraman Club - Tatakae! Ultraman Kyoudai!!                                                                                                                            |                         | 1992        | Banpresto                                                       | Seta                           |                                                                                     |
| snes_umikawate                  |        | Umihara Kawase (Hack, English)                                                                                                                                         |                         | 2021        | satsu, Green Jerry                                              | Nintendo                       |                                                                                     |
| snes_umiharakawase              |        | Umihara Kawase (Japan)                                                                                                                                                 | snes_umikawate          | 1994        | TNN                                                             | Nintendo                       |                                                                                     |
| nes_uncanxmenc                  |        | Uncanny X-Men, The (Hack, Spanish)                                                                                                                                     | nes_uncanxmen           | 2019        | Wave                                                            | Miscellaneous                  |                                                                                     |
| nes_uncanxmen                   |        | Uncanny X-Men, The (USA)                                                                                                                                               |                         | 1989        | Ljn                                                             | Miscellaneous                  |                                                                                     |
| md_unchartd                     |        | Uncharted Waters (USA)                                                                                                                                                 |                         | 1992        | Koei                                                            | Sega Megadrive                 |                                                                                     |
| nes_unchartedwaters             |        | Uncharted Waters (USA)                                                                                                                                                 |                         | 1991        | Koei                                                            | Miscellaneous                  |                                                                                     |
| snes_unchwaters                 |        | Uncharted Waters (USA)                                                                                                                                                 |                         | 1991        | Koei                                                            | Nintendo                       |                                                                                     |
| md_newhoriz                     |        | Uncharted Waters - New Horizons (USA)                                                                                                                                  |                         | 1994        | Koei                                                            | Sega Megadrive                 |                                                                                     |
| unclepoo                        |        | Uncle Poo                                                                                                                                                              |                         | 1983        | Diatec                                                          | Jack the Giantkiller           |                                                                                     |
| md_undeade                      |        | Undead Line (Hack, English)                                                                                                                                            | md_undead               | 2007        | Jon Najar                                                       | Sega Megadrive                 |                                                                                     |
| md_undead                       |        | Undead Line (Japan)                                                                                                                                                    |                         | 1991        | Palsoft                                                         | Sega Megadrive                 |                                                                                     |
| undrfirej                       |        | Under Fire (Japan)                                                                                                                                                     | undrfire                | 1993        | Taito Corporation                                               | K1100744A                      |                                                                                     |
| undrfireu                       |        | Under Fire (US)                                                                                                                                                        | undrfire                | 1993        | Taito America Corporation                                       | K1100744A                      |                                                                                     |
| undrfire                        |        | Under Fire (World)                                                                                                                                                     |                         | 1993        | Taito Corporation Japan                                         | K1100744A                      |                                                                                     |
| snes_undercopsj                 |        | Undercover Cops (Japan)                                                                                                                                                | snes_undercopsrb        | 1995        | Varie Corp.                                                     | Nintendo                       |                                                                                     |
| uccopsj                         |        | Undercover Cops (Japan)                                                                                                                                                | uccops                  | 1992        | Irem                                                            | Irem M92                       |                                                                                     |
| uccopsu                         |        | Undercover Cops (US)                                                                                                                                                   | uccops                  | 1992        | Irem                                                            | Irem M92                       |                                                                                     |
| snes_undercopsrb                |        | Undercover Cops (USA) (Retro-bit)                                                                                                                                      |                         | 2020        | Retro-bit                                                       | Nintendo                       |                                                                                     |
| uccops                          |        | Undercover Cops (World)                                                                                                                                                |                         | 1992        | Irem                                                            | Irem M92                       |                                                                                     |
| uccopsaru                       |        | Undercover Cops - Alpha Renewal Version (US)                                                                                                                           | uccops                  | 1992        | Irem America                                                    | Irem M92                       |                                                                                     |
| uccopsar                        |        | Undercover Cops - Alpha Renewal Version (World)                                                                                                                        | uccops                  | 1992        | Irem                                                            | Irem M92                       |                                                                                     |
| msx_undergnd                    |        | Underground (Euro, Spanish)                                                                                                                                            |                         | 1988        | System 4                                                        | MSX                            |                                                                                     |
| spec_underground                |        | Underground (Spanish) (48K)                                                                                                                                            |                         | 1988        | System 4                                                        | ZX Spectrum                    |                                                                                     |
